LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.,Status
C2976072,WS2812C-2020-V1,Worldsemi,,"SMD,2x2mm","SMD,2x2mm LED Addressable, Specialty RoHS",YES,130,0.0663,8.62,,,,Partially Cancelled
C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,,0603,10uF ±10% 10V Ceramic Capacitor X5R 0603,YES,300,0.0054,1.62,,,,-
C14663,CC0603KRX7R9BB104,YAGEO,,0603,100nF ±10% 50V Ceramic Capacitor X7R 0603,YES,300,0.0019,0.57,,,,-
C23138,0603WAF3300T5E,UNI-ROYAL(Uniroyal Elec),,0603,330Ω ±1% 100mW 0603 Thick Film Resistor,YES,300,0.0011,0.33,,,,-
C25804,0603WAF1002T5E,UNI-ROYAL(Uniroyal Elec),,0603,10kΩ ±1% 100mW 0603 Thick Film Resistor,YES,300,0.001,0.30,,,,-
C465999,TS-1185-C-A-B-B,XKB Connection,,"SMD,4x3mm",Tactile Switch SPST 260gf 2mm 4mm x 3mm Surface Mount,YES,20,0.1033,2.07,,,,-
C967938,CH552E,WCH(Jiangsu Qin Heng),,MSOP-10,"51 Series 8 Bit 24MHz MSOP-10 Microcontrollers ",YES,15,0.4153,6.23,,,,-
C5329561,YTC-TC16-473,YIYUAN,,SMD,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,YES,10,0.121,1.21,,,,-
C143789,PEC11R-4015F-S0024,BOURNS,,Through Hole,Through Hole Encoders RoHS,YES,10,2.1573,21.57,,,,-
C111292,CH552G,WCH(Jiangsu Qin Heng),,SOP-16,"51 Series 8 Bit 24MHz SOP-16 Microcontrollers ",YES,5,0.5709,2.85,,,,-
C400235,CPG151101D213,Kailh,,Through Hole,"70,000,000 Cycles Copper Switch 10mA 2 12V 40gf@±10gf Through Hole Pushbutton Switches ",YES,10,0.243,2.43,,,,-
