LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C141382,CT41G-0402-2X1-16V-0.1μF-K(N),TORCH,-,0402,100nF ±10% 16V Ceramic Capacitor 0402,YES,200,0.0026,0.52,2024-07-14,,
C2933066,FRC0402F1023TS,FOJAN,-,0402,102kΩ ±1% 62.5mW 0402 Thick Film Resistor,YES,200,0.0004,0.08,2024-07-14,,
C22809,0603WAF1502T5E,UNI-ROYAL(Uniroyal Elec),-,0603,15kΩ ±1% 100mW 0603 Thick Film Resistor,YES,200,0.0011,0.22,2024-07-14,,
C80697,XC6204B332MR,Torex Semicon,-,SOT-23-5,"3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,30,0.2155,6.47,2024-07-14,,
C276921,532611271,MOLEX,-,"SMD,P=1.25mm,Surface Mount,Right Angle","Connector Header 12 position 1.25mm Pitch 1A Surface Mount, Right Angle -40℃~+105℃",YES,30,0.3022,9.07,2024-07-14,,
C370381,SDWL2012C39NJSTF,Sunlord,-,-,-,-,30,0.0743,2.23,2024-07-14,,
C388043,0603N272J500CT,Walsin Tech Corp,-,0603,2.7nF ±5% 50V Ceramic Capacitor NP0 0603,YES,40,0.0068,0.27,2024-07-19,,
C5160142,XXHBELNAOF-25MHZ,TAITIEN Elec,-,SMD3225-4P,Crystal 25MHz ±10ppm 20pF SMD3225-4P,YES,15,0.1208,1.81,2024-07-19,,
C14663,CC0603KRX7R9BB104,YAGEO,-,0603,100nF ±10% 50V Ceramic Capacitor X7R 0603,YES,200,0.0019,0.38,2024-07-14,,
C397049,MHT192WDT-C5,MEIHUA,-,0603,White LED Indication - Discrete 3.1V 0603,YES,40,0.026,1.04,2024-07-14,,
C500193,X10B25U15T,XKB Connection," ","SMD,P=1mm,Surface Mount,Right Angle","FFC/FPC Connector 15 Position 1mm Pitch Top Contact Surface Mount, Right Angle -40℃~+85℃",YES,10,0.1455,1.46,2024-07-14,,
